match_id,match_runs
225,74.0
726,74.0
98,73.0
1418,72.0
694,71.0
1428,71.0
52,70.0
1381,69.0
84,68.0
259,68.0
557,68.0
879,68.0
199,67.0
876,67.0
896,66.0
1232,66.0
1607,66.0
1778,66.0
320,65.0
365,64.0
984,64.0
1161,64.0
1790,64.0
126,63.0
316,63.0
448,63.0
612,63.0
1784,63.0
110,62.0
1264,62.0
1406,62.0
1560,62.0
189,61.0
960,61.0
1686,61.0
1270,60.0
1436,60.0
1634,60.0
1922,60.0
291,59.0
385,59.0
659,59.0
672,59.0
973,59.0
1375,59.0
1951,59.0
99,58.0
151,58.0
171,58.0
428,58.0
607,58.0
639,58.0
653,58.0
1383,58.0
1918,58.0
387,57.0
487,57.0
1102,57.0
1191,57.0
1549,57.0
146,56.0
506,56.0
538,56.0
1364,56.0
1717,56.0
530,55.0
606,55.0
950,55.0
1249,55.0
1277,55.0
1672,55.0
1690,55.0
1814,55.0
1873,55.0
119,54.0
202,54.0
261,54.0
543,54.0
861,54.0
922,54.0
1187,54.0
1543,54.0
1580,54.0
1631,54.0
1689,54.0
549,53.0
801,53.0
917,53.0
959,53.0
1027,53.0
1117,53.0
1974,53.0
63,52.0
73,52.0
95,52.0
148,52.0
368,52.0
685,52.0
883,52.0
1082,52.0
1200,52.0
1484,52.0
1994,52.0
69,51.0
72,51.0
88,51.0
333,51.0
963,51.0
1460,51.0
1763,51.0
1977,51.0
4,50.0
165,50.0
384,50.0
394,50.0
395,50.0
656,50.0
824,50.0
904,50.0
1053,50.0
1221,50.0
1423,50.0
7,49.0
150,49.0
228,49.0
303,49.0
524,49.0
554,49.0
742,49.0
767,49.0
798,49.0
931,49.0
1224,49.0
1283,49.0
1569,49.0
1581,49.0
1913,49.0
54,48.0
188,48.0
268,48.0
389,48.0
432,48.0
595,48.0
868,48.0
1062,48.0
1073,48.0
1172,48.0
1223,48.0
1410,48.0
1453,48.0
1487,48.0
1628,48.0
1666,48.0
1746,48.0
21,47.0
187,47.0
217,47.0
246,47.0
336,47.0
416,47.0
697,47.0
783,47.0
1012,47.0
1198,47.0
1244,47.0
1309,47.0
1426,47.0
1650,47.0
1657,47.0
1824,47.0
1856,47.0
1902,47.0
1948,47.0
1967,47.0
67,46.0
115,46.0
206,46.0
258,46.0
264,46.0
332,46.0
422,46.0
442,46.0
459,46.0
828,46.0
877,46.0
898,46.0
966,46.0
1019,46.0
1167,46.0
1243,46.0
1321,46.0
1404,46.0
1554,46.0
1588,46.0
1591,46.0
1618,46.0
1741,46.0
1760,46.0
1820,46.0
1857,46.0
1888,46.0
1926,46.0
1970,46.0
1998,46.0
15,45.0
18,45.0
109,45.0
114,45.0
117,45.0
168,45.0
277,45.0
304,45.0
545,45.0
623,45.0
723,45.0
766,45.0
780,45.0
800,45.0
865,45.0
997,45.0
1106,45.0
1320,45.0
1361,45.0
1452,45.0
1502,45.0
1627,45.0
1780,45.0
1877,45.0
1962,45.0
1976,45.0
1978,45.0
1980,45.0
8,44.0
24,44.0
216,44.0
240,44.0
269,44.0
270,44.0
315,44.0
359,44.0
392,44.0
577,44.0
581,44.0
676,44.0
875,44.0
969,44.0
1021,44.0
1052,44.0
1085,44.0
1392,44.0
1518,44.0
1522,44.0
1660,44.0
1973,44.0
78,43.0
230,43.0
272,43.0
295,43.0
319,43.0
412,43.0
458,43.0
507,43.0
515,43.0
569,43.0
570,43.0
602,43.0
654,43.0
814,43.0
827,43.0
1009,43.0
1180,43.0
1201,43.0
1238,43.0
1329,43.0
1687,43.0
1733,43.0
1770,43.0
1794,43.0
1847,43.0
1854,43.0
53,42.0
90,42.0
100,42.0
122,42.0
278,42.0
330,42.0
372,42.0
471,42.0
567,42.0
588,42.0
888,42.0
934,42.0
1061,42.0
1076,42.0
1268,42.0
1276,42.0
1284,42.0
1290,42.0
1348,42.0
1389,42.0
1571,42.0
1578,42.0
1596,42.0
1692,42.0
1702,42.0
1731,42.0
1734,42.0
1747,42.0
1801,42.0
1928,42.0
1941,42.0
1952,42.0
80,41.0
93,41.0
94,41.0
214,41.0
221,41.0
323,41.0
327,41.0
397,41.0
439,41.0
491,41.0
707,41.0
710,41.0
732,41.0
808,41.0
812,41.0
946,41.0
953,41.0
991,41.0
1056,41.0
1081,41.0
1084,41.0
1092,41.0
1096,41.0
1145,41.0
1226,41.0
1255,41.0
1285,41.0
1420,41.0
1504,41.0
1512,41.0
1587,41.0
1604,41.0
1622,41.0
1664,41.0
1779,41.0
1783,41.0
1799,41.0
1851,41.0
75,40.0
173,40.0
283,40.0
344,40.0
366,40.0
480,40.0
536,40.0
561,40.0
624,40.0
641,40.0
669,40.0
958,40.0
1024,40.0
1182,40.0
1194,40.0
1242,40.0
1291,40.0
1297,40.0
1396,40.0
1424,40.0
1476,40.0
1575,40.0
1665,40.0
1761,40.0
1789,40.0
1879,40.0
1894,40.0
1959,40.0
1988,40.0
51,39.0
62,39.0
92,39.0
121,39.0
179,39.0
186,39.0
198,39.0
222,39.0
237,39.0
354,39.0
376,39.0
465,39.0
566,39.0
867,39.0
907,39.0
914,39.0
967,39.0
1002,39.0
1015,39.0
1090,39.0
1104,39.0
1225,39.0
1251,39.0
1272,39.0
1287,39.0
1317,39.0
1363,39.0
1379,39.0
1385,39.0
1539,39.0
1606,39.0
1706,39.0
1768,39.0
1791,39.0
1809,39.0
1815,39.0
1837,39.0
1921,39.0
1931,39.0
1999,39.0
59,38.0
81,38.0
234,38.0
260,38.0
308,38.0
334,38.0
355,38.0
360,38.0
454,38.0
478,38.0
481,38.0
505,38.0
514,38.0
573,38.0
704,38.0
853,38.0
1158,38.0
1246,38.0
1256,38.0
1279,38.0
1313,38.0
1314,38.0
1534,38.0
1640,38.0
1681,38.0
1705,38.0
1712,38.0
1755,38.0
1919,38.0
1960,38.0
2000,38.0
35,37.0
144,37.0
161,37.0
224,37.0
328,37.0
381,37.0
391,37.0
404,37.0
426,37.0
444,37.0
571,37.0
580,37.0
671,37.0
729,37.0
776,37.0
831,37.0
833,37.0
837,37.0
895,37.0
941,37.0
979,37.0
993,37.0
1017,37.0
1029,37.0
1034,37.0
